,eg:date,eg:indicator,eg:note,eg:value
0,2013-02-04T00:00:00,radiometer reading,B. pumilus  purchased  From MESA Labs,0
1,2013-02-04T00:00:00,mJ Dose,B. pumilus  purchased  From MESA Labs,0 mj
2,2013-02-04T00:00:00,Dilution,B. pumilus  purchased  From MESA Labs,0.0000001
3,2013-02-04T00:00:00,Plate 1 CFU,B. pumilus  purchased  From MESA Labs,11
4,2013-02-04T00:00:00,Plate 2 CFU,B. pumilus  purchased  From MESA Labs,19
5,2013-02-04T00:00:00,radiometer reading,B. pumilus  purchased  From MESA Labs,145.7
6,2013-02-04T00:00:00,mJ Dose,B. pumilus  purchased  From MESA Labs,130 mJ
7,2013-02-04T00:00:00,Dilution,B. pumilus  purchased  From MESA Labs,0.1
8,2013-02-04T00:00:00,Plate 1 CFU,B. pumilus  purchased  From MESA Labs,36
9,2013-02-04T00:00:00,Plate 2 CFU,B. pumilus  purchased  From MESA Labs,36
10,2013-02-04T00:00:00,radiometer reading,B. pumilus  purchased  From MESA Labs,146.8
11,2013-02-04T00:00:00,mJ Dose,B. pumilus  purchased  From MESA Labs,180 mJ
12,2013-02-04T00:00:00,Dilution,B. pumilus  purchased  From MESA Labs,0.1
13,2013-02-04T00:00:00,Plate 1 CFU,B. pumilus  purchased  From MESA Labs,32
14,2013-02-04T00:00:00,Plate 2 CFU,B. pumilus  purchased  From MESA Labs,28
15,2013-02-04T00:00:00,radiometer reading,B. pumilus  purchased  From MESA Labs,144.7
16,2013-02-04T00:00:00,mJ Dose,B. pumilus  purchased  From MESA Labs,230 mJ
17,2013-02-04T00:00:00,Dilution,B. pumilus  purchased  From MESA Labs,0.1
18,2013-02-04T00:00:00,Plate 1 CFU,B. pumilus  purchased  From MESA Labs,17
19,2013-02-04T00:00:00,Plate 2 CFU,B. pumilus  purchased  From MESA Labs,13
20,2013-02-27T00:00:00,mJ Dose,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0 mj
21,2013-02-27T00:00:00,Dilution,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0.0000001
22,2013-02-27T00:00:00,Plate 1,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),23
23,2013-02-27T00:00:00,Plate 2,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),20
24,2013-02-27T00:00:00,radiometer reading,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),141.9
25,2013-02-27T00:00:00,mJ Dose,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),80 mJ
26,2013-02-27T00:00:00,Dilution,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0.00001
27,2013-02-27T00:00:00,Plate 1,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),73
28,2013-02-27T00:00:00,Plate 2,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),93
29,2013-02-27T00:00:00,radiometer reading,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),139
30,2013-02-27T00:00:00,mJ Dose,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),130 mJ
31,2013-02-27T00:00:00,Dilution,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0.0001
32,2013-02-27T00:00:00,Plate 1,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),58
33,2013-02-27T00:00:00,Plate 2,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),78
34,2013-02-27T00:00:00,radiometer reading,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),141.4
35,2013-02-27T00:00:00,mJ Dose,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),180 mJ
36,2013-02-27T00:00:00,Dilution,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0.001
37,2013-02-27T00:00:00,Plate 1,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),46
38,2013-02-27T00:00:00,Plate 2,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),51
39,2013-02-27T00:00:00,radiometer reading,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),141.4
40,2013-02-27T00:00:00,mJ Dose,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),230 mJ
41,2013-02-27T00:00:00,Dilution,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0.001
42,2013-02-27T00:00:00,Plate 1,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),45
43,2013-02-27T00:00:00,Plate 2,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),36
44,2013-02-27T00:00:00,radiometer reading,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),140
45,2013-02-27T00:00:00,mJ Dose,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),280 mJ
46,2013-02-27T00:00:00,Dilution,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),0.001
47,2013-02-27T00:00:00,Plate 1,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),17
48,2013-02-27T00:00:00,Plate 2,B. pumilus  MESA Strain .1mM MNSO4 grown in .generic spore media   5day incubation (*2-13-13 prep),25
49,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0
50,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0mj
51,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.000001
52,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),26
53,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),50
54,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.1409
55,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),80 mJ
56,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.00001
57,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),61
58,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),55
59,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.1433
60,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),130 mJ
61,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.0001
62,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),73
63,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),70
64,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.1422
65,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),180 mJ
66,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.001
67,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),58
68,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),75
69,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.1419
70,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),230 mJ
71,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),0.001
72,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),31
73,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*2-13-13 prep),24
74,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0
75,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0mj
76,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.000001
77,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),122
78,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),116
79,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.1395
80,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),80 mJ
81,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.0001
82,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),127
83,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),122
84,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.1433
85,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),130 mJ
86,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.001
87,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),128
88,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),87
89,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.1429
90,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),180 mJ
91,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.001
92,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),2
93,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),4
94,2013-03-04T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.1422
95,2013-03-04T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),230 mJ
96,2013-03-04T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),0.01
97,2013-03-04T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),16
98,2013-03-04T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*2-13-13 prep),13
99,2013-03-06T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0
100,2013-03-06T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0mj
101,2013-03-06T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.0000001
102,2013-03-06T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),58
103,2013-03-06T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),58
104,2013-03-06T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.1391
105,2013-03-06T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),80 mJ
106,2013-03-06T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.00001
107,2013-03-06T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),38
108,2013-03-06T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),46
109,2013-03-06T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.1391
110,2013-03-06T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),130 mJ
111,2013-03-06T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.001
112,2013-03-06T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),101
113,2013-03-06T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),130
114,2013-03-06T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.1393
115,2013-03-06T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),180 mJ
116,2013-03-06T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.01
117,2013-03-06T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),48
118,2013-03-06T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),47
119,2013-03-06T00:00:00,radiometer reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.1421
120,2013-03-06T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),230 mJ
121,2013-03-06T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),0.1
122,2013-03-06T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),96
123,2013-03-06T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media  5 day incubation (*2-13-13 prep),118
124,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0
125,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0
126,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.000001
127,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),25
128,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),19
129,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.14
130,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),80
131,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.00001
132,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),24
133,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),24
134,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.1395
135,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),130
136,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.001
137,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),36
138,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),33
139,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.1393
140,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),180
141,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.001
142,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),14
143,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),9
144,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.1398
145,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),230
146,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.01
147,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),52
148,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),50
149,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0
150,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0
151,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.000001
152,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),50
153,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),42
154,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.1371
155,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),80
156,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.00001
157,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),36
158,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),29
159,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.1365
160,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),130
161,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.0001
162,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),55
163,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),53
164,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.1364
165,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),180
166,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.001
167,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),30
168,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),28
169,2013-03-27T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.1373
170,2013-03-27T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),230
171,2013-03-27T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),0.001
172,2013-03-27T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),6
173,2013-03-27T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in Generic Spore media  5 day incubation (*3-20-13 prep),5
174,2013-04-01T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0
175,2013-04-01T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0
176,2013-04-01T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.000001
177,2013-04-01T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),85
178,2013-04-01T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),95
179,2013-04-01T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.1396
180,2013-04-01T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),80
181,2013-04-01T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.0001
182,2013-04-01T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),122
183,2013-04-01T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),145
184,2013-04-01T00:00:00,Radiometer Reading,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.1395
185,2013-04-01T00:00:00,mJ Dose,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),130
186,2013-04-01T00:00:00,Dilution,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),0.001
187,2013-04-01T00:00:00,Plate 1,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),59
188,2013-04-01T00:00:00,Plate 2,B. pumilus - MESA Strain .1mM MNSO4 grown in .5 Columbia broth media 5 day incubation (*3-20-2013 prep),104
